编号,名称,属性,标准图片,闪光图片,问题标记
#0001,妙蛙种子,属性：草/毒,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/1.png,待检查
#0002,妙蛙草,属性：草/毒,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/2.png,待检查
#0003,妙蛙花,属性：草/毒,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/3.png,待检查
#0004,小火龙,属性：火,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/4.png,待检查
#0005,火恐龙,属性：火,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/5.png,待检查
#0006,喷火龙,属性：火/飞行,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/6.png,待检查
#0007,杰尼龟,属性：水,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/7.png,待检查
#0008,卡咪龟,属性：水,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/8.png,待检查
#0009,水箭龟,属性：水,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/9.png,待检查
#0010,绿毛虫,属性：虫,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/10.png,待检查
